id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
499553,"Deluxe 4-BR penthouse, views, historic center",1297488,Petra,,Cuauhtémoc,19.43621,-99.13874,Entire home/apt,4985,3,26,2024-10-28,0.17,2,117,1,
501037,The best cheap flat in La Condesa!!,1364145,Humberto,,Cuauhtémoc,19.41578,-99.17425,Entire home/apt,1150,5,134,2024-12-03,0.89,2,232,23,
517503,Nice big room near airport,2547499,Irma Adriana,,Venustiano Carranza,19.43784,-99.07903,Private room,550,1,281,2024-12-11,3.43,1,339,52,
527473,"Nuestro bello departamento, un paraíso en la CDMX.",158585,Fernando,,Cuauhtémoc,19.41887,-99.17333,Entire home/apt,3654,1,354,2024-12-02,2.35,1,216,32,
544105,Polanco great location! Priv Room in Shared Apart,2674950,Elizabeth,,Miguel Hidalgo,19.44289207458496,-99.20138549804688,Private room,1007,2,67,2024-11-26,0.74,1,173,9,
567176,Un descanso en CDMX,2336127,Ana Karen,,Cuauhtémoc,19.45595,-99.15944,Private room,310,7,28,2023-11-03,0.24,1,362,0,
571166,MODERN/HIP FURNISHED APARTMENT ( S1 Condesa Haus),196253,Fernando,,Cuauhtémoc,19.41346,-99.1775,Hotel room,3328,1,1,2019-02-08,0.01,8,165,0,
583039,"Air Conditioned, Balcony Vista, Central Quiet 12D",2872228,Bruce,,Cuauhtémoc,19.43374,-99.14616,Entire home/apt,1290,2,118,2024-12-16,0.80,15,251,24,
607833,Apartment close to the Basílica.,1849414,Omar,,Gustavo A. Madero,19.48321,-99.11241,Private room,404,3,6,2016-06-01,0.04,1,87,0,
609012,Beautiful appartement on Reforma,2944126,Dacio,,Cuauhtémoc,19.43221,-99.15708,Entire home/apt,,4,22,2020-03-30,0.15,1,181,0,
609594,House in Xochimilco,2223274,Luis,,Xochimilco,19.26541,-99.11365,Entire home/apt,910,21,14,2024-03-01,0.12,1,326,2,
